Sentence,Label
"Cloud Review Visual Studio Magazine Washington Technology Privacy Policy Overview In this Privacy Policy, we will discuss the following topics and more Our Approach to Privacy The Scope of Our Privacy Policy Privacy Policy Overview What information we collect We may collect Personal Information from you or from other sources Information Collected Directly From You Information Automatically Collected Using Tracking Technologies Information Collected from Third Parties How we use information Information regarding interest-based advertising OBA Involving Third Parties What information we share with third parties Third Party Service Providers Sponsors Third Party Partners Aggregated Data How you can change or control what is collected Updating Your Registration Information Location Based Services Cookies and Pixel Tags Unsubscribing from 1105 Media Newsletter and Emails Postal Communications Telephone Communications Push Notifications Information for users located outside the U.S. Non-E.U.",High Risk
We may collect Personal Information from you or from other sources.,High Risk
"Information Collected Directly From You We collect personal information across our services, such as when you register for site membership or create a profile or account on any part of the websites.",High Risk
We do not authorize such third party providers to collect Personal Information from our Services for their own purposes.,High Risk
We do not knowingly or intentionally collect personal information from children under age 18.,High Risk
"We will not collect, use, disclose or retain personal information for any other purposes unless your consent to do so is obtained.",High Risk
"We may collect personal information from you for the following purposes to provide you with the service s you have requested to offer you additional products and services we believe you might be interested in to conduct customer satisfaction surveys to respond to your queries to inform you of new promotions, products and services offered by us to improve our level of service to provide service notifications.",High Risk
"We will not use or disclose your personal information for purposes other than those for which it was collected, except with your consent or as permitted or required by applicable law.",High Risk
"We have no control over, and no responsibility or liability for, the practices or technologies used, or any information collected by any third-party advertising companies.",High Risk
"If you would like more information about the practices of third-party advertising companies and to know your choices about not having information collected or used by these companies, please visit http www.networkadvertising.org .",High Risk
1mg does not knowingly collect Personal Information from children.,High Risk
We do not disclose this data to third parties without your consent.,High Risk
"Contents Key Definitions Information we collect Information you provide directly to us Information related to our genetic testing services Information collected through tracking technology Other types of information How we use your information To provide you with Services and analyze and improve our Services To process, analyze and deliver your genetic testing results To allow you to share your Personal Information with others To allow you to share your Personal Information for research purposes To recruit you for external research To provide customer support To conduct surveys or polls, and obtain testimonials To provide you with marketing communications Information we share with third parties General Service Providers ""Targeted advertising"" service providers Aggregate Information Information we share with commonly owned entities As required by law Business Transactions Your choices Access to your account Marketing communications Sharing outside of the 23andMe Services Account Deletion Security Measures Children's Privacy Linked Websites Information for Customers in Designated Countries International Transfers Our relationship with you Legal bases for processing Personal Information from the EU Direct Marketing Privacy Rights Complaints California â Residents Nevada Residents Do-Not-Track Statement Changes to this Privacy Statement Contact information 1.",High Risk
"â When you purchase our Services or create a 23andMe account, we collect Personal Information, which may include your name, date of birth, billing and shipping address, payment information e.g., credit card and contact information e.g.",High Risk
This privacy notice explains what to expect when 2BrightSparks Pte Ltd collect personal information from users.,High Risk
"SyncBackPro, to a third-party social networking or integrated service, such as Facebook, Google or similar single sign-on service, 2BrightSparks will not collect Personal Information that is associated with your Integrated Service account.",High Risk
"However, we may also collect Personal Information about you from other sources.",High Risk
We encourage you to be aware when you leave our Website and to read the privacy statements of each and every website that may collect Personal Information.,High Risk
"However, we will not, without your consent, use your Personal Information in a manner materially different than what was stated at the time your Personal Information was collected.",High Risk
We will not store or collect your payment card details.,High Risk
"What we will not do with your personal information 3P Learning will keep your personal information confidential and not sell or disclose your information to advertisers or any external third parties, unless we believe, in good faith, that we are required to share your information with a third party such as a regulator or court in order to comply with law, regulation, legal process, court order or subpoena to enforce our Terms amp.",High Risk
"Skip to Data Privacy and Security FAQâ s About 3P Learningâ s Privacy Policy What personal information we collect What we will do with your information What we will not do with your personal information How we collect and process your information How long we hold your information Updating and accessing your personal information Keeping your personal information secure Data transfers, storage and processing globally Anonymous or aggregated information Cookies Revision of Privacy Policy Contact Us More privacy information Special information for users across Canada Special Information for users in the European Union Blended teaching software powered by human support.",High Risk
"In which instance, we only collect personal information that is reasonably necessary to provide our services to you.",High Risk
"Collection and Use of Information We may collect personal information from you when you do any of the following on our website Sign up to receive updates from us via email or social media channels Use a mobile device or web browser to access our content Contact us via email, social media, or on any similar technologies When you mention us on social media We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes to enable you to customize or personalize your experience of our website to contact and communicate with you for analytics, market research, and business development, including to operate and improve our website, associated applications, and associated social media platforms for advertising and marketing, including to send you promotional information about our products and services and information about third parties that we consider may be of interest to you to enable you to access and use our website, associated applications, and associated social media platforms for security and fraud prevention, and to ensure that our sites and apps are safe, secure, and used in line with our terms of use Please be aware that we may combine information we collect about you with general information or research data we receive from other trusted sources.",High Risk
"Childrenâ s Privacy We do not aim any of our products or services directly at children under the age of 13, and we do not knowingly collect personal information about children under 13.",High Risk
"We WILL NOT disclose your information even if we believe we are required to do so by law, or to comply with a court order, judicial or other government subpoena, or warrant.",High Risk
"In compliance with the Childrenâ s Online Privacy Protection Act, we will not require anyone under the age of 18 to disclose more information than is reasonably necessary to participate in an activity as a condition of participation.",High Risk
"Except as previously stated, we will not knowingly collect or maintain personally identifiable information with respect to anyone under 18.",High Risk
"In addition, you may be able to access our Site, your Account and or Site content via a third party platform, site, app or other service, and those Third Party Operators may collect Personal Information and other data about you in connection therewith, and may provide some or all of it to us.",High Risk
"Information You Disclose Publicly The Site may permit you to submit messages, text, illustrations, files, images, graphics, photos, comments, responses, sounds, music, videos, information, content, ratings, reviews, data, questions, suggestions, personally identifiable information, or other information or materials and the ideas contained therein collectively, â User-Generated Contentâ , such as on blogs and message boards or on or in response to our pages or posts on any third party platforms or in connection with any of our promotions by any media or manner, or otherwise submitted to us e.g., on our Facebook or other social media pages, in response to our tweets, or by mail .",High Risk
"We are not responsible for the accuracy, use or misuse of any User-Generated Content that you disclose or receive from third parties through the Site.",High Risk
We are not responsible for the data collection and privacy practices employed by such third parties or their services and they may be collecting data about you and may be sharing it with us and or others.,High Risk
"4â H may now or in the future offer users of the Site the opportunity to create, build, post, upload, display, publish, distribute, transmit, broadcast, or otherwise make available on or submit through the Site, or on or in response to our pages or posts on any third party platforms or in connection with any of our promotions by any media or manner, or otherwise submitted to us e.g., on our Facebook or other social media pages, in response to our tweets, or by mail collectively, â submitâ messages, text, illustrations, files, images, graphics, photos, comments, responses, sounds, music, videos, information, content, ratings, reviews, data, questions, suggestions, personally identifiable information, or other information or materials and the ideas contained therein collectively, but excluding any Content included therein, â User-Generated Contentâ .",High Risk
